entity,filings,reported_expenses_usd,conscience_flagged_filings,years_active,issue_codes
Ascension Health,151,16424000.0,85,2017|2018|2019|2020|2021|2022|2023|2024|2025,BUD|HCR|IMM|INS|LBR|MMM|PHA|REL|TAX|VET
Catholic Health Association of the US,73,6861720.0,34,2017|2018|2019|2020|2021|2022|2023|2024|2025,ACC|BUD|CIV|DIS|ENV|FAM|FIN|FIR|FOO|HCR|HOM|HOU|IMM|LAW|LBR|MED|MMM|PHA|REL|TAX|TEC|TOB|WEL
Trinity Health,90,6668200.0,50,2017|2018|2019|2020|2021|2022|2023|2024|2025,AGR|BUD|EDU|ENV|FIR|HCR|HOU|IMM|LAW|LBR|MMM|PHA|SCI|TAX|TOB|VET
Providence Health & Services,100,5050000.0,29,2017|2018|2019|2020|2021|2022|2023|2024|2025,BUD|ENV|FIR|HCR|HOU|INS|MMM|TAX
SSM Health,80,214717.0,51,2017|2018|2019|2020|2021|2022|2023|2024|2025,BUD|HCR|MMM
Mercy Health / Trinity affiliate,109,15400.0,46,2017|2018|2019|2020|2021|2022|2023|2024|2025,HCR|MMM|PHA
Sisters of Charity,28,0.0,8,2017|2018|2019|2021|2022|2025,AGR|ALC|BUD|ECN|EDU|ENV|FAM|HCR|HOU|MMM|PHA|REL|RES|TOB|TRA|URB|WEL
Lutheran Services in America,31,0.0,0,2020|2021|2022|2023|2024|2025,BUD|HCR|MMM
CommonSpirit Health,28,0.0,0,2019|2020|2021|2022|2023|2024|2025,HCR
CHRISTUS Health,36,0.0,36,2017|2018|2019|2020|2021|2022|2023|2024|2025,BUD|DEF|HCR|MMM|TAX|TEC|VET
Catholic Charities USA,36,0.0,0,2017|2018|2019|2020|2021|2022|2023|2024|2025,BUD|HCR|HOU|IMM|LAW|TAX
Catholic Charities (various dioceses),99,0.0,8,2018|2019|2020|2021|2022|2023|2024|2025,AGR|BUD|EDU|HOU|IMM|LBR|TAX|WEL
Adventist Health,70,0.0,18,2017|2018|2019|2020|2021|2022|2023|2024|2025,AGR|ALC|BUD|HCR|HOU|MMM
AdventHealth,40,0.0,31,2017|2018|2019|2020|2021|2022|2023|2024|2025,ALC|HCR|HOU|IMM|MED|MMM|PHA|TAX|VET
State Catholic Conferences,25,0.0,0,2017|2018|2019|2020|2021|2022|2023,
