state,excluded_count,physician_population,per_1000_physicians,pct_of_all_excluded,pct_of_all_physicians
WV,33,6559,5.031,1.1,0.5
KY,61,15127,4.033,2.1,1.2
PR,50,12488,4.004,1.7,1.0
WY,6,1510,3.974,0.2,0.1
AL,57,14710,3.875,2.0,1.2
MI,155,42353,3.66,5.4,3.3
LA,52,15530,3.348,1.8,1.2
TN,78,23371,3.337,2.7,1.8
FL,267,83444,3.2,9.3,6.5
NV,28,9138,3.064,1.0,0.7
CA,423,144003,2.937,14.7,11.3
NY,275,101918,2.698,9.6,8.0
OH,120,48019,2.499,4.2,3.8
MT,9,3756,2.396,0.3,0.3
NM,17,7148,2.378,0.6,0.6
IL,111,48840,2.273,3.9,3.8
VA,69,30607,2.254,2.4,2.4
PA,135,61392,2.199,4.7,4.8
NJ,82,37335,2.196,2.9,2.9
OK,25,11584,2.158,0.9,0.9
TX,186,87886,2.116,6.5,6.9
MS,16,7758,2.062,0.6,0.6
OR,36,17487,2.059,1.3,1.4
MD,56,27534,2.034,1.9,2.2
MO,48,25013,1.919,1.7,2.0
CO,41,22935,1.788,1.4,1.8
DE,7,4016,1.743,0.2,0.3
UT,17,9872,1.722,0.6,0.8
WA,51,29638,1.721,1.8,2.3
GA,57,33234,1.715,2.0,2.6
ME,11,6446,1.706,0.4,0.5
IN,36,21622,1.665,1.3,1.7
IA,16,9820,1.629,0.6,0.8
AK,4,2644,1.513,0.1,0.2
AR,13,8935,1.455,0.5,0.7
CT,26,19013,1.367,0.9,1.5
NH,8,6171,1.296,0.3,0.5
ID,6,4876,1.231,0.2,0.4
WI,26,22777,1.142,0.9,1.8
MA,48,42339,1.134,1.7,3.3
VT,3,2825,1.062,0.1,0.2
AZ,26,24549,1.059,0.9,1.9
HI,6,5907,1.016,0.2,0.5
KS,8,8806,0.908,0.3,0.7
DC,6,7350,0.816,0.2,0.6
NC,29,36652,0.791,1.0,2.9
NE,5,6504,0.769,0.2,0.5
ND,2,2714,0.737,0.1,0.2
RI,4,5587,0.716,0.1,0.4
SC,12,17445,0.688,0.4,1.4
SD,1,2855,0.35,0.0,0.2
MN,8,23773,0.337,0.3,1.9
