county,fips,utility,median_income,housing_units,price_cents_kwh,annual_bill,monthly_bill,rate_increase_pct,annual_bill_after_increase,annual_increase_dollars,monthly_increase_dollars,current_burden_pct_income,projected_burden_pct_income
Bronx,36005,Con Edison,"$40,233",524093,26.5,"$1,908",$159,2.8%,"$1,961",$53,$4.45,4.74%,4.88%
Chautauqua,36013,NYSEG,"$46,543",63218,19.5,"$1,404",$117,18.4%,"$1,662",$258,$21.53,3.02%,3.57%
Broome,36007,NYSEG,"$49,824",88423,19.5,"$1,404",$117,18.4%,"$1,662",$258,$21.53,2.82%,3.34%
Steuben,36101,NYSEG,"$51,234",44892,19.5,"$1,404",$117,18.4%,"$1,662",$258,$21.53,2.74%,3.24%
Chemung,36015,NYSEG,"$52,134",38432,19.5,"$1,404",$117,18.4%,"$1,662",$258,$21.53,2.69%,3.19%
Erie,36029,National Grid,"$58,994",425044,22.8,"$1,642",$137,9.5%,"$1,798",$156,$13.00,2.78%,3.05%
Kings,36047,Con Edison,"$67,095",1005530,26.5,"$1,908",$159,2.8%,"$1,961",$53,$4.45,2.84%,2.92%
Monroe,36055,RG&E,"$60,937",314316,20.1,"$1,447",$121,19.8%,"$1,734",$287,$23.88,2.37%,2.85%
Onondaga,36067,Central Hudson,"$61,234",203920,21.3,"$1,534",$128,5.4%,"$1,616",$83,$6.90,2.50%,2.64%
Tompkins,36109,NYSEG,"$63,254",43785,19.5,"$1,404",$117,18.4%,"$1,662",$258,$21.53,2.22%,2.63%
Albany,36001,National Grid,"$68,543",140289,22.8,"$1,642",$137,9.5%,"$1,798",$156,$13.00,2.39%,2.62%
Queens,36081,Con Edison,"$75,844",835127,26.5,"$1,908",$159,2.8%,"$1,961",$53,$4.45,2.52%,2.59%
Richmond,36085,Con Edison,"$85,381",178015,26.5,"$1,908",$159,2.8%,"$1,961",$53,$4.45,2.23%,2.30%
New York,36061,Con Edison,"$93,651",872773,26.5,"$1,908",$159,2.8%,"$1,961",$53,$4.45,2.04%,2.09%
Orange,36071,Central Hudson,"$82,957",137652,21.3,"$1,534",$128,5.4%,"$1,616",$83,$6.90,1.85%,1.95%
Dutchess,36027,Central Hudson,"$85,542",118432,21.3,"$1,534",$128,5.4%,"$1,616",$83,$6.90,1.79%,1.89%
Westchester,36119,Con Edison,"$105,222",380273,26.5,"$1,908",$159,2.8%,"$1,961",$53,$4.45,1.81%,1.86%
Suffolk,36103,PSEG Long Island,"$109,052",549323,24.2,"$1,742",$145,5.0%,"$1,830",$87,$7.26,1.60%,1.68%
Nassau,36059,PSEG Long Island,"$126,418",471654,24.2,"$1,742",$145,5.0%,"$1,830",$87,$7.26,1.38%,1.45%
