rank,county,population,households,num_idas,num_projects,total_exemptions,net_exemptions,property_tax_exemptions,num_years,annual_property_tax_shift,annual_per_household,cumulative_per_household
1,GREENE,47409,18738,1,93,221345118.6,169501369.6,207502093.0,1,207502093.0,11073.43110569723,11073.43110569723
2,WYOMING,39753,15712,1,278,125655843.62,112504690.18,123826130.78999992,1,123826130.78999992,7880.665884303066,7880.665884303066
3,OSWEGO,117953,46621,1,610,303401479.7,88315091.7,292946881.0,1,292946881.0,6283.482479716497,6283.482479716497
4,SCHOHARIE,30049,11877,1,50,71827609.38,25681484.95,71626961.9,1,71626961.9,6030.690326034144,6030.690326034144
5,NEW YORK,1629477,644062,1,2646,3669954495.14,1521494296.58,3567231746.96,1,3567231746.96,5538.646031707597,5538.646031707597
6,TIOGA,47864,18918,1,131,104351993.14,51678233.62,90686717.17000003,1,90686717.17000003,4793.5273784075725,4793.5273784075725
7,STEUBEN,92588,36596,2,567,186073455.29999998,96671576.81,165085334.12,1,165085334.12,4511.015415859507,4511.015415859507
8,RENSSELAER,160332,63372,4,808,357489137.69,268689918.33,277976507.62999994,1,277976507.62999994,4386.401743282064,4386.401743282064
9,SULLIVAN,79721,31510,1,579,145154583.78,98262360.51,114268623.17000005,1,114268623.17000005,3626.392250725657,3626.392250725657
10,NASSAU,1389591,549245,3,2034,1807894892.11,1034321746.4399999,1712504306.040001,1,1712504306.040001,3117.921672118776,3117.921672118776
11,DUTCHESS,298220,117873,2,390,443281755.53999996,336911888.57,351791891.59,1,351791891.59,2984.486237417678,2984.486237417678
12,LEWIS,26607,10516,1,115,42448554.03,20819157.57,31051756.769999996,1,31051756.769999996,2952.6419599391133,2952.6419599391133
13,SENECA,32920,13011,1,219,40128490.97,23914525.34,35745651.360000014,1,35745651.360000014,2747.1597187363313,2747.1597187363313
14,FRANKLIN,46696,18456,1,89,50775438.74,42552204.99,49273634.60999999,1,49273634.60999999,2669.656834917337,2669.656834917337
15,CHAUTAUQUA,125544,49622,2,404,170895122.13,155743824.41,132281190.49,1,132281190.49,2665.7698650648376,2665.7698650648376
16,ONTARIO,112625,44515,2,491,127315359.3,73605704.53999999,117520073.95999998,1,117520073.95999998,2639.9625937296328,2639.9625937296328
17,WESTCHESTER,999677,395129,7,1857,1195585205.95,682626044.4999999,928394016.2399999,1,928394016.2399999,2349.595780524309,2349.595780524309
18,SCHENECTADY,160369,63386,2,400,158543355.11,60805606.550000004,145526616.73000005,1,145526616.73000005,2295.8448348926545,2295.8448348926545
19,MONTGOMERY,49528,19576,2,143,48722395.57,23253949.259999998,43694993.34,1,43694993.34,2232.037093163463,2232.037093163463
20,NIAGARA,210721,83288,3,1255,212467198.17000002,139882474.0,177743176.18,1,177743176.18,2134.055152241115,2134.055152241115
21,YATES,24526,9694,1,305,28610930.32,13409179.9,20009468.029999986,1,20009468.029999986,2064.093375026501,2064.093375026501
22,GENESEE,57787,22840,1,611,70822165.31,51819894.67,44780640.63000001,1,44780640.63000001,1960.562423969059,1960.562423969059
23,SUFFOLK,1530146,604800,5,4712,1308048353.19,636047271.85,1163190297.1999998,1,1163190297.1999998,1923.2618664598017,1923.2618664598017
24,ONONDAGA,471129,186216,2,1178,390567845.94,285956439.53999996,344602837.0099999,1,344602837.0099999,1850.5444955315838,1850.5444955315838
25,CHEMUNG,82147,32469,1,395,66743993.97,43271581.12,58783154.00999997,1,58783154.00999997,1810.4298348728487,1810.4298348728487
26,ONEIDA,229124,90562,2,1040,186551932.45,130694173.59,149797344.26,1,149797344.26,1654.0706385092785,1654.0706385092785
27,TOMPKINS,104537,41318,1,449,85389884.73,56149861.26,66858616.61999999,1,66858616.61999999,1618.1093780058732,1618.1093780058732
28,HERKIMER,59757,23619,1,187,47064060.54,33988840.69,37924489.90999999,1,37924489.90999999,1605.6522160131863,1605.6522160131863
29,SCHUYLER,17562,6941,1,162,11181893.17,3665519.75,10904564.439999988,1,10904564.439999988,1570.9229036100653,1570.9229036100653
30,ALBANY,317018,125303,7,1078,246865312.52,145263473.53,194749851.13000008,1,194749851.13000008,1554.22443949208,1554.22443949208
31,CATTARAUGUS,76145,30096,2,408,78998107.24000001,72091842.63,45410741.23,1,45410741.23,1508.8210035051543,1508.8210035051543
32,BROOME,197378,78015,1,385,141894363.6,89914420.47,112336206.73000002,1,112336206.73000002,1439.9305040424972,1439.9305040424972
33,CAYUGA,75102,29684,2,255,44341851.84,31154156.29,37654835.37000002,1,37654835.37000002,1268.4979559279386,1268.4979559279386
34,LIVINGSTON,61498,24307,1,280,49172574.23,32153784.27,29594040.130000003,1,29594040.130000003,1217.4854715421639,1217.4854715421639
35,ORANGE,406616,160717,6,553,225844674.14000002,132285755.99,192647702.47999996,1,192647702.47999996,1198.6707047297693,1198.6707047297693
36,CLINTON,78493,31024,1,197,47277285.63,20700261.48,37119408.78999999,1,37119408.78999999,1196.4392269208715,1196.4392269208715
37,ORLEANS,39608,15655,1,151,18510278.84,9284082.0,17804564.34,1,17804564.34,1137.2840784740456,1137.2840784740456
38,MONROE,753753,297926,2,3069,398689291.69,245808142.54000002,305737848.87000006,1,305737848.87000006,1026.2204696247975,1026.2204696247975
39,SARATOGA,238284,94183,3,420,131960358.19,55051062.11,88889907.62999995,1,88889907.62999995,943.7959170733236,943.7959170733236
40,DELAWARE,44487,17583,1,82,14267691.41,5359900.54,14267691.41,1,14267691.41,811.4114070919594,811.4114070919594
41,ULSTER,182601,72174,1,250,59528993.1,32999406.55,57371064.04999999,1,57371064.04999999,794.8959318212932,794.8959318212932
42,ROCKLAND,341883,135131,1,313,191221362.58,109702700.78,107325209.31000002,1,107325209.31000002,794.2272050798082,794.2272050798082
43,WAYNE,90929,35940,1,329,31963827.19,18785524.47,28201797.549999997,1,28201797.549999997,784.684179981084,784.684179981084
44,WARREN,65517,25896,2,299,43208199.15,32136845.86,20274210.479999997,1,20274210.479999997,782.9075280369979,782.9075280369979
45,ERIE,950622,375739,6,2781,340878326.64,193785680.04000002,266862143.28000006,1,266862143.28000006,710.2310092743489,710.2310092743489
46,CORTLAND,46246,18279,1,133,12626678.84,8845556.98,10974800.339999998,1,10974800.339999998,600.403166980928,600.403166980928
47,CHENANGO,46321,18308,1,59,12448193.1,7202869.51,10897598.85,1,10897598.85,595.2143755639989,595.2143755639989
48,JEFFERSON,115040,45470,1,261,27692254.69,19810534.69,23060393.859999996,2,11530196.929999998,253.57613206623773,507.15226413247547
49,OTSEGO,60108,23758,1,94,13281193.96,7478864.09,11607643.43,1,11607643.43,488.57619414886534,488.57619414886534
50,MADISON,67328,26611,1,114,10370054.28,7321224.15,8924551.5,1,8924551.5,335.3599586353374,335.3599586353374
51,ALLEGANY,47159,18639,1,115,9190364.29,7642175.07,6108495.010000003,1,6108495.010000003,327.7103495684812,327.7103495684812
52,ST LAWRENCE,107226,42381,1,279,13854417.15,9903971.35,10874675.0,1,10874675.0,256.5882132132132,256.5882132132132
53,FULTON,52487,20745,1,36,9591614.4,6428381.49,4142160.3699999996,1,4142160.3699999996,199.66212083182498,199.66212083182498
54,COLUMBIA,61100,24150,2,62,5203615.51,2708293.5300000003,3357772.53,1,3357772.53,139.03706220785597,139.03706220785597
55,PUTNAM,98107,38777,1,53,8426147.66,4639924.66,4997473.0,1,4997473.0,128.8756835903656,128.8756835903656
56,ESSEX,36973,14613,1,94,15410660.96,14773482.08,1111971.48,1,1111971.48,76.09033198279826,76.09033198279826
