dimension,quintile,n_facilities,total_violations,total_health_violations,total_penalties,violation_rate,health_violation_rate,avg_violations,avg_penalties,avg_severity_score,avg_qtrs_noncompliance,avg_tri_releases_lbs
poc,1,48462,13062,35883,528277194.0,0.1306,0.096,0.2695,10900.85,17.5501,5.1601,682766.27
poc,2,41322,11628,30416,528925825.0,0.1319,0.1006,0.2814,12800.1,17.5284,5.0854,320107.97
poc,3,32762,8923,20535,703154341.0,0.1319,0.0736,0.2724,21462.5,17.0319,4.7862,331018.52
poc,4,27685,9073,16983,490420119.0,0.1446,0.0632,0.3277,17714.29,16.7919,4.6007,395539.55
poc,5,20836,6081,12110,495151563.0,0.1363,0.0607,0.2919,23764.23,16.8578,4.5436,380980.74
lowinc,1,30180,8760,16966,470589080.0,0.1356,0.0844,0.2903,15592.75,17.0963,4.8784,315396.98
lowinc,2,34973,9199,21514,505668440.0,0.127,0.0872,0.263,14458.82,17.1708,4.9494,324165.84
lowinc,3,38759,9698,27752,659451741.0,0.1297,0.0859,0.2502,17014.16,17.317,4.9683,268427.55
lowinc,4,37911,11918,28057,451701745.0,0.1375,0.0841,0.3144,11914.79,17.3451,4.933,353958.96
lowinc,5,29244,9192,21638,658518036.0,0.1426,0.0724,0.3143,22518.06,17.2247,4.7581,1072716.51
wastewater,1,36485,8732,37622,473726269.0,0.1255,0.1135,0.2393,12984.14,17.708,5.1224,136366.8
wastewater,2,34083,9599,22177,346240821.0,0.1334,0.0862,0.2816,10158.75,17.317,5.0218,164328.29
wastewater,3,32027,9273,17931,531550298.0,0.1333,0.0759,0.2895,16596.94,17.0284,4.8233,250877.34
wastewater,4,29603,8631,12484,419130564.0,0.1324,0.0585,0.2916,14158.38,16.6475,4.6412,549858.66
wastewater,5,30679,10215,14523,568040660.0,0.1519,0.063,0.333,18515.62,16.9274,4.6327,616103.6
